Scrape_Timestamp,Days_to_Departure,Departure_Date,Day_of_Week,Departure_Time,Arrival_Time,Source_City,Destination_City,Airline,Flight_Number,Total_Duration_Mins,Number_of_Stops,CO2_Emissions_Grams,Price_Level,Flight_Category,Price_INR
2026-06-02 17:03:35,7,2026-06-09,Tuesday,7:55 AM,2:15 PM,BOM,PNQ,"Air India, Air India Express",LR 165,380,1,165000,,Cheapest,
2026-06-02 17:03:52,14,2026-06-16,Tuesday,7:55 AM,2:15 PM,BOM,PNQ,"Air India, Air India Express",LR 163,380,1,163000,,Best,
2026-06-02 17:03:52,14,2026-06-16,Tuesday,7:55 AM,2:15 PM,BOM,PNQ,"Air India, Air India Express",LR 163,380,1,163000,,Cheapest,
2026-06-02 17:04:02,30,2026-07-02,Thursday,7:55 AM,2:15 PM,BOM,PNQ,"Air India, Air India Express",LR 151,380,1,151000,,Best,
2026-06-02 17:04:02,30,2026-07-02,Thursday,7:55 AM,2:15 PM,BOM,PNQ,"Air India, Air India Express",LR 151,380,1,151000,,Cheapest,
2026-06-02 17:04:18,60,2026-08-01,Saturday,7:25 AM,5:35 PM,BOM,PNQ,"Air India, Air India Express",DR 121,610,1,121000,,Best,
2026-06-02 17:04:18,60,2026-08-01,Saturday,7:25 AM,5:35 PM,BOM,PNQ,"Air India, Air India Express",DR 121,610,1,121000,,Cheapest,
2026-06-02 17:04:33,1,2026-06-03,Wednesday,1:30 AM,2:50 AM,BOM,AMD,IndiGo,,80,0,50000,Typical,Best,6626
2026-06-02 17:04:33,1,2026-06-03,Wednesday,1:30 AM,2:50 AM,BOM,AMD,IndiGo,,80,0,50000,Typical,Cheapest,6626
2026-06-02 17:04:50,3,2026-06-05,Friday,11:10 PM,12:35 AM,BOM,AMD,IndiGo,,85,0,50000,High,Best,6941
2026-06-02 17:04:50,3,2026-06-05,Friday,11:10 PM,12:35 AM,BOM,AMD,IndiGo,,85,0,50000,High,Cheapest,6941
2026-06-02 17:05:04,7,2026-06-09,Tuesday,8:00 PM,9:20 PM,BOM,AMD,IndiGo,,80,0,50000,Typical,Best,5681
2026-06-02 17:05:04,7,2026-06-09,Tuesday,8:00 PM,9:20 PM,BOM,AMD,IndiGo,,80,0,50000,Typical,Cheapest,5681
2026-06-02 17:05:16,14,2026-06-16,Tuesday,1:30 AM,2:50 AM,BOM,AMD,IndiGo,,80,0,50000,Typical,Best,5681
2026-06-02 17:05:16,14,2026-06-16,Tuesday,1:30 AM,2:50 AM,BOM,AMD,IndiGo,,80,0,50000,Typical,Cheapest,5681
2026-06-02 17:05:30,30,2026-07-02,Thursday,1:30 AM,2:50 AM,BOM,AMD,IndiGo,,80,0,51000,Typical,Best,5681
2026-06-02 17:05:30,30,2026-07-02,Thursday,1:30 AM,2:50 AM,BOM,AMD,IndiGo,,80,0,51000,Typical,Cheapest,5681
2026-06-02 17:05:41,60,2026-08-01,Saturday,6:40 PM,8:00 PM,BOM,AMD,IndiGo,,80,0,47000,Typical,Best,5681
2026-06-02 17:05:41,60,2026-08-01,Saturday,6:40 PM,8:00 PM,BOM,AMD,IndiGo,,80,0,47000,Typical,Cheapest,5681
